from,to
VAR-00001,SUPPLIER_ISSUE
VAR-00002,NEW_WORKER
VAR-00003,LOW_VOLUME
VAR-00004,SUPPLIER_ISSUE
VAR-00005,NEW_WORKER
VAR-00006,LOW_VOLUME
VAR-00007,GOLD_PRICE_UP
VAR-00008,EQUIPMENT_OLD
VAR-00009,LOW_VOLUME
VAR-00010,GOLD_PRICE_UP
VAR-00011,EQUIPMENT_OLD
VAR-00012,LOW_VOLUME
VAR-00013,GOLD_PRICE_UP
VAR-00014,EQUIPMENT_OLD
VAR-00015,EQUIPMENT_OLD
VAR-00016,OVERUSE
VAR-00017,EQUIPMENT_OLD
VAR-00018,EQUIPMENT_OLD
VAR-00019,SUPPLIER_ISSUE
VAR-00020,EQUIPMENT_OLD
VAR-00021,LOW_VOLUME
VAR-00022,SUPPLIER_ISSUE
VAR-00023,NEW_WORKER
VAR-00024,LOW_VOLUME
VAR-00025,SUPPLIER_ISSUE
VAR-00026,EQUIPMENT_OLD
VAR-00027,LOW_VOLUME
VAR-00028,GOLD_PRICE_UP
VAR-00029,NEW_WORKER
VAR-00030,EQUIPMENT_OLD
VAR-00031,SUPPLIER_ISSUE
VAR-00032,EQUIPMENT_OLD
VAR-00033,LOW_VOLUME
VAR-00034,GOLD_PRICE_UP
VAR-00035,EQUIPMENT_OLD
VAR-00036,LOW_VOLUME
VAR-00037,GOLD_PRICE_UP
VAR-00038,NEW_WORKER
VAR-00039,LOW_VOLUME
VAR-00040,GOLD_PRICE_UP
VAR-00041,NEW_WORKER
VAR-00042,EQUIPMENT_OLD
VAR-00043,GOLD_PRICE_UP
VAR-00044,EQUIPMENT_OLD
VAR-00045,LOW_VOLUME
VAR-00046,OVERUSE
VAR-00047,NEW_WORKER
VAR-00048,EQUIPMENT_OLD
VAR-00049,GOLD_PRICE_UP
VAR-00050,NEW_WORKER
VAR-00051,LOW_VOLUME
VAR-00052,GOLD_PRICE_UP
VAR-00053,EQUIPMENT_OLD
VAR-00054,EQUIPMENT_OLD
VAR-00055,SUPPLIER_ISSUE
VAR-00056,EQUIPMENT_OLD
VAR-00057,EQUIPMENT_OLD
VAR-00058,OVERUSE
VAR-00059,NEW_WORKER
VAR-00060,LOW_VOLUME
VAR-00061,OVERUSE
VAR-00062,NEW_WORKER
VAR-00063,EQUIPMENT_OLD
VAR-00064,OVERUSE
VAR-00065,NEW_WORKER
VAR-00066,LOW_VOLUME
VAR-00067,SUPPLIER_ISSUE
VAR-00068,EQUIPMENT_OLD
VAR-00069,LOW_VOLUME
VAR-00070,GOLD_PRICE_UP
VAR-00071,EQUIPMENT_OLD
VAR-00072,LOW_VOLUME
VAR-00073,OVERUSE
VAR-00074,NEW_WORKER
VAR-00075,EQUIPMENT_OLD
VAR-00076,GOLD_PRICE_UP
VAR-00077,NEW_WORKER
VAR-00078,LOW_VOLUME
VAR-00079,SUPPLIER_ISSUE
VAR-00080,NEW_WORKER
VAR-00081,EQUIPMENT_OLD
VAR-00082,SUPPLIER_ISSUE
VAR-00083,NEW_WORKER
VAR-00084,LOW_VOLUME
VAR-00085,GOLD_PRICE_UP
VAR-00086,NEW_WORKER
VAR-00087,EQUIPMENT_OLD
VAR-00088,OVERUSE
VAR-00089,EQUIPMENT_OLD
VAR-00090,EQUIPMENT_OLD
VAR-00091,SUPPLIER_ISSUE
VAR-00092,EQUIPMENT_OLD
VAR-00093,EQUIPMENT_OLD
VAR-00094,OVERUSE
VAR-00095,LOW_VOLUME
VAR-00096,OVERUSE
VAR-00097,NEW_WORKER
VAR-00098,LOW_VOLUME
VAR-00099,SUPPLIER_ISSUE
VAR-00100,EQUIPMENT_OLD
VAR-00101,EQUIPMENT_OLD
VAR-00102,SUPPLIER_ISSUE
VAR-00103,NEW_WORKER
VAR-00104,LOW_VOLUME
VAR-00105,SUPPLIER_ISSUE
VAR-00106,EQUIPMENT_OLD
VAR-00107,LOW_VOLUME
VAR-00108,GOLD_PRICE_UP
VAR-00109,NEW_WORKER
VAR-00110,EQUIPMENT_OLD
VAR-00111,GOLD_PRICE_UP
VAR-00112,NEW_WORKER
VAR-00113,LOW_VOLUME
VAR-00114,SUPPLIER_ISSUE
VAR-00115,EQUIPMENT_OLD
VAR-00116,EQUIPMENT_OLD
VAR-00117,OVERUSE
VAR-00118,NEW_WORKER
VAR-00119,LOW_VOLUME
VAR-00120,SUPPLIER_ISSUE
VAR-00121,EQUIPMENT_OLD
VAR-00122,LOW_VOLUME
VAR-00123,GOLD_PRICE_UP
VAR-00124,EQUIPMENT_OLD
