from,to
PO-SEMI-0001,VAR-00001
PO-SEMI-0001,VAR-00002
PO-SEMI-0001,VAR-00003
PO-SEMI-0002,VAR-00004
PO-SEMI-0002,VAR-00005
PO-SEMI-0002,VAR-00006
PO-SEMI-0003,VAR-00007
PO-SEMI-0003,VAR-00008
PO-SEMI-0003,VAR-00009
PO-SEMI-0004,VAR-00010
PO-SEMI-0004,VAR-00011
PO-SEMI-0004,VAR-00012
PO-SEMI-0005,VAR-00013
PO-SEMI-0005,VAR-00014
PO-SEMI-0005,VAR-00015
PO-SEMI-0006,VAR-00016
PO-SEMI-0006,VAR-00017
PO-SEMI-0006,VAR-00018
PO-SEMI-0007,VAR-00019
PO-SEMI-0007,VAR-00020
PO-SEMI-0007,VAR-00021
PO-SEMI-0008,VAR-00022
PO-SEMI-0008,VAR-00023
PO-SEMI-0008,VAR-00024
PO-SEMI-0009,VAR-00025
PO-SEMI-0009,VAR-00026
PO-SEMI-0009,VAR-00027
PO-SEMI-0010,VAR-00028
PO-SEMI-0010,VAR-00029
PO-SEMI-0010,VAR-00030
PO-SEMI-0011,VAR-00031
PO-SEMI-0011,VAR-00032
PO-SEMI-0011,VAR-00033
PO-SEMI-0012,VAR-00034
PO-SEMI-0012,VAR-00035
PO-SEMI-0012,VAR-00036
PO-SEMI-0013,VAR-00037
PO-SEMI-0013,VAR-00038
PO-SEMI-0013,VAR-00039
PO-SEMI-0014,VAR-00040
PO-SEMI-0014,VAR-00041
PO-SEMI-0014,VAR-00042
PO-SEMI-0015,VAR-00043
PO-SEMI-0015,VAR-00044
PO-SEMI-0015,VAR-00045
PO-SEMI-0016,VAR-00046
PO-SEMI-0016,VAR-00047
PO-SEMI-0016,VAR-00048
PO-SEMI-0017,VAR-00049
PO-SEMI-0017,VAR-00050
PO-SEMI-0017,VAR-00051
PO-SEMI-0018,VAR-00052
PO-SEMI-0018,VAR-00053
PO-SEMI-0018,VAR-00054
PO-SEMI-0019,VAR-00055
PO-SEMI-0019,VAR-00056
PO-SEMI-0019,VAR-00057
PO-SEMI-0020,VAR-00058
PO-SEMI-0020,VAR-00059
PO-SEMI-0020,VAR-00060
PO-SEMI-0021,VAR-00061
PO-SEMI-0021,VAR-00062
PO-SEMI-0021,VAR-00063
PO-SEMI-0022,VAR-00064
PO-SEMI-0022,VAR-00065
PO-SEMI-0022,VAR-00066
PO-SEMI-0023,VAR-00067
PO-SEMI-0023,VAR-00068
PO-SEMI-0023,VAR-00069
PO-SEMI-0024,VAR-00070
PO-SEMI-0024,VAR-00071
PO-SEMI-0024,VAR-00072
PO-SEMI-0025,VAR-00073
PO-SEMI-0025,VAR-00074
PO-SEMI-0025,VAR-00075
PO-SEMI-0026,VAR-00076
PO-SEMI-0026,VAR-00077
PO-SEMI-0026,VAR-00078
PO-SEMI-0027,VAR-00079
PO-SEMI-0027,VAR-00080
PO-SEMI-0027,VAR-00081
PO-SEMI-0028,VAR-00082
PO-SEMI-0028,VAR-00083
PO-SEMI-0028,VAR-00084
PO-SEMI-0029,VAR-00085
PO-SEMI-0029,VAR-00086
PO-SEMI-0029,VAR-00087
PO-SEMI-0030,VAR-00088
PO-SEMI-0030,VAR-00089
PO-SEMI-0030,VAR-00090
PO-SEMI-0031,VAR-00091
PO-SEMI-0031,VAR-00092
PO-SEMI-0031,VAR-00093
PO-SEMI-0032,VAR-00094
PO-SEMI-0032,VAR-00095
PO-SEMI-0032,VAR-00096
PO-SEMI-0033,VAR-00097
PO-SEMI-0033,VAR-00098
PO-SEMI-0033,VAR-00099
PO-SEMI-0034,VAR-00100
PO-SEMI-0034,VAR-00101
PO-SEMI-0034,VAR-00102
PO-SEMI-0035,VAR-00103
PO-SEMI-0035,VAR-00104
PO-SEMI-0035,VAR-00105
PO-SEMI-0036,VAR-00106
PO-SEMI-0036,VAR-00107
PO-SEMI-0036,VAR-00108
PO-SEMI-0037,VAR-00109
PO-SEMI-0037,VAR-00110
PO-SEMI-0037,VAR-00111
PO-SEMI-0038,VAR-00112
PO-SEMI-0038,VAR-00113
PO-SEMI-0038,VAR-00114
PO-SEMI-0039,VAR-00115
PO-SEMI-0039,VAR-00116
PO-SEMI-0039,VAR-00117
PO-SEMI-0040,VAR-00118
PO-SEMI-0040,VAR-00119
PO-SEMI-0040,VAR-00120
PO-SEMI-0041,VAR-00121
PO-SEMI-0041,VAR-00122
PO-SEMI-0041,VAR-00123
PO-SEMI-0042,VAR-00124
PO-SEMI-0042,VAR-00125
PO-SEMI-0042,VAR-00126
PO-SEMI-0043,VAR-00127
PO-SEMI-0043,VAR-00128
PO-SEMI-0043,VAR-00129
PO-SEMI-0044,VAR-00130
PO-SEMI-0044,VAR-00131
PO-SEMI-0044,VAR-00132
PO-SEMI-0045,VAR-00133
PO-SEMI-0045,VAR-00134
PO-SEMI-0045,VAR-00135
PO-SEMI-0046,VAR-00136
PO-SEMI-0046,VAR-00137
PO-SEMI-0046,VAR-00138
PO-SEMI-0047,VAR-00139
PO-SEMI-0047,VAR-00140
PO-SEMI-0047,VAR-00141
PO-SEMI-0048,VAR-00142
PO-SEMI-0048,VAR-00143
PO-SEMI-0048,VAR-00144
PO-SEMI-0049,VAR-00145
PO-SEMI-0049,VAR-00146
PO-SEMI-0049,VAR-00147
PO-SEMI-0050,VAR-00148
PO-SEMI-0050,VAR-00149
PO-SEMI-0050,VAR-00150
PO-SEMI-0051,VAR-00151
PO-SEMI-0051,VAR-00152
PO-SEMI-0051,VAR-00153
PO-SEMI-0052,VAR-00154
PO-SEMI-0052,VAR-00155
PO-SEMI-0052,VAR-00156
PO-SEMI-0053,VAR-00157
PO-SEMI-0053,VAR-00158
PO-SEMI-0053,VAR-00159
PO-SEMI-0054,VAR-00160
PO-SEMI-0054,VAR-00161
PO-SEMI-0054,VAR-00162
PO-SEMI-0055,VAR-00163
PO-SEMI-0055,VAR-00164
PO-SEMI-0055,VAR-00165
PO-SEMI-0056,VAR-00166
PO-SEMI-0056,VAR-00167
PO-SEMI-0056,VAR-00168
PO-SEMI-0057,VAR-00169
PO-SEMI-0057,VAR-00170
PO-SEMI-0057,VAR-00171
PO-SEMI-0058,VAR-00172
PO-SEMI-0058,VAR-00173
PO-SEMI-0058,VAR-00174
PO-SEMI-0059,VAR-00175
PO-SEMI-0059,VAR-00176
PO-SEMI-0059,VAR-00177
PO-SEMI-0060,VAR-00178
PO-SEMI-0060,VAR-00179
PO-SEMI-0060,VAR-00180
