from,to
SUB-WAFER,ITEM-WAFER-12
SUB-CHEM,ITEM-PR-EUV
SUB-PKG-MAT,ITEM-LMC-H
SUB-WAFER,ITEM-HBM-BASE
SUB-PKG-MAT,ITEM-GENERIC-01
SUB-PKG-MAT,ITEM-GENERIC-02
SUB-CHEM,ITEM-GENERIC-03
SUB-WAFER,ITEM-GENERIC-04
SUB-WAFER,ITEM-GENERIC-05
SUB-CHEM,ITEM-GENERIC-06
SUB-WAFER,ITEM-GENERIC-07
SUB-CHEM,ITEM-GENERIC-08
SUB-WAFER,ITEM-GENERIC-09
SUB-WAFER,ITEM-GENERIC-10
SUB-WAFER,ITEM-GENERIC-11
SUB-WAFER,ITEM-GENERIC-12
SUB-WAFER,ITEM-GENERIC-13
SUB-WAFER,ITEM-GENERIC-14
SUB-PKG-MAT,ITEM-GENERIC-15
SUB-WAFER,ITEM-GENERIC-16
SUB-WAFER,ITEM-GENERIC-17
SUB-PKG-MAT,ITEM-GENERIC-18
SUB-PKG-MAT,ITEM-GENERIC-19
SUB-CHEM,ITEM-GENERIC-20
