from,to
FAM-DRAM,PROD-HBM3E
FAM-DRAM,PROD-DDR5
FAM-NAND,PROD-NAND-238L
FAM-NAND,PROD-V-NAND-V01
FAM-DRAM,PROD-DDR4-V02
FAM-NAND,PROD-V-NAND-V03
FAM-DRAM,PROD-DDR4-V04
FAM-NAND,PROD-V-NAND-V05
FAM-DRAM,PROD-DDR4-V06
FAM-NAND,PROD-V-NAND-V07
FAM-DRAM,PROD-DDR4-V08
FAM-NAND,PROD-V-NAND-V09
FAM-DRAM,PROD-DDR4-V10
FAM-NAND,PROD-V-NAND-V11
FAM-DRAM,PROD-DDR4-V12
FAM-NAND,PROD-V-NAND-V13
FAM-DRAM,PROD-DDR4-V14
FAM-NAND,PROD-V-NAND-V15
FAM-DRAM,PROD-DDR4-V16
FAM-NAND,PROD-V-NAND-V17
FAM-DRAM,PROD-DDR4-V18
FAM-NAND,PROD-V-NAND-V19
FAM-DRAM,PROD-DDR4-V20
