from,to
VAR-00003,SYMP-001
VAR-00009,SYMP-001
VAR-00012,SYMP-001
VAR-00021,SYMP-001
VAR-00024,SYMP-001
VAR-00027,SYMP-001
VAR-00030,SYMP-001
VAR-00033,SYMP-001
VAR-00034,SYMP-004
VAR-00036,SYMP-001
VAR-00039,SYMP-001
VAR-00042,SYMP-001
VAR-00045,SYMP-001
VAR-00048,SYMP-001
VAR-00049,SYMP-004
VAR-00051,SYMP-001
VAR-00054,SYMP-001
VAR-00060,SYMP-001
VAR-00069,SYMP-001
VAR-00070,SYMP-004
VAR-00072,SYMP-001
VAR-00075,SYMP-001
VAR-00081,SYMP-001
VAR-00082,SYMP-004
VAR-00087,SYMP-001
VAR-00088,SYMP-004
VAR-00090,SYMP-001
VAR-00091,SYMP-004
VAR-00099,SYMP-001
VAR-00102,SYMP-001
VAR-00105,SYMP-001
VAR-00114,SYMP-001
VAR-00117,SYMP-001
VAR-00120,SYMP-001
VAR-00123,SYMP-001
VAR-00126,SYMP-001
VAR-00132,SYMP-001
VAR-00135,SYMP-001
VAR-00141,SYMP-001
VAR-00144,SYMP-001
VAR-00148,SYMP-004
VAR-00150,SYMP-001
VAR-00156,SYMP-001
VAR-00159,SYMP-001
VAR-00160,SYMP-004
VAR-00162,SYMP-001
VAR-00163,SYMP-004
VAR-00165,SYMP-001
VAR-00177,SYMP-001
VAR-00180,SYMP-001
