from,to
VAR-00004,QD-001
VAR-00013,QD-001
VAR-00016,QD-001
VAR-00019,QD-001
VAR-00025,QD-001
VAR-00031,QD-001
VAR-00037,QD-001
VAR-00046,QD-001
VAR-00052,QD-001
VAR-00055,QD-001
VAR-00061,QD-001
VAR-00064,QD-001
VAR-00067,QD-001
VAR-00073,QD-001
VAR-00076,QD-001
VAR-00079,QD-001
VAR-00085,QD-001
VAR-00094,QD-001
VAR-00097,QD-001
VAR-00100,QD-001
VAR-00103,QD-001
VAR-00106,QD-001
VAR-00109,QD-001
VAR-00112,QD-001
VAR-00115,QD-001
VAR-00118,QD-001
VAR-00121,QD-001
VAR-00124,QD-001
VAR-00127,QD-001
VAR-00130,QD-001
VAR-00133,QD-001
VAR-00136,QD-001
VAR-00139,QD-001
VAR-00142,QD-001
VAR-00145,QD-001
VAR-00151,QD-001
VAR-00154,QD-001
VAR-00157,QD-001
VAR-00166,QD-001
VAR-00169,QD-001
VAR-00172,QD-001
VAR-00175,QD-001
VAR-00178,QD-001
