from,to
VAR-00003,EF-001
VAR-00009,EF-001
VAR-00012,EF-001
VAR-00021,EF-001
VAR-00024,EF-001
VAR-00027,EF-001
VAR-00030,EF-001
VAR-00033,EF-001
VAR-00036,EF-001
VAR-00039,EF-001
VAR-00042,EF-001
VAR-00045,EF-001
VAR-00048,EF-001
VAR-00051,EF-001
VAR-00054,EF-001
VAR-00060,EF-001
VAR-00069,EF-001
VAR-00072,EF-001
VAR-00075,EF-001
VAR-00081,EF-001
VAR-00087,EF-001
VAR-00090,EF-001
VAR-00099,EF-001
VAR-00102,EF-001
VAR-00105,EF-001
VAR-00114,EF-001
VAR-00117,EF-001
VAR-00120,EF-001
VAR-00123,EF-001
VAR-00126,EF-001
VAR-00132,EF-001
VAR-00135,EF-001
VAR-00141,EF-001
VAR-00144,EF-001
VAR-00150,EF-001
VAR-00156,EF-001
VAR-00159,EF-001
VAR-00162,EF-001
VAR-00165,EF-001
VAR-00177,EF-001
VAR-00180,EF-001
