from,to
VAR-00001,MAT-EMC-01
VAR-00004,MAT-WIRE-AU
VAR-00007,MAT-EMC-01
VAR-00010,MAT-EMC-01
VAR-00013,MAT-WIRE-AU
VAR-00016,MAT-WIRE-AU
VAR-00019,MAT-WIRE-AU
VAR-00022,MAT-EMC-01
VAR-00025,MAT-WIRE-AU
VAR-00028,MAT-EMC-01
VAR-00031,MAT-WIRE-AU
VAR-00034,MAT-EMC-01
VAR-00037,MAT-WIRE-AU
VAR-00040,MAT-EMC-01
VAR-00043,MAT-WIRE-AU
VAR-00046,MAT-WIRE-AU
VAR-00049,MAT-EMC-01
VAR-00052,MAT-WIRE-AU
VAR-00055,MAT-WIRE-AU
VAR-00058,MAT-EMC-01
VAR-00061,MAT-WIRE-CU
VAR-00064,MAT-WIRE-CU
VAR-00067,MAT-WIRE-CU
VAR-00070,MAT-EMC-01
VAR-00073,MAT-WIRE-CU
VAR-00076,MAT-WIRE-CU
VAR-00079,MAT-WIRE-CU
VAR-00082,MAT-EMC-01
VAR-00085,MAT-WIRE-CU
VAR-00088,MAT-EMC-01
VAR-00091,MAT-EMC-01
VAR-00094,MAT-WIRE-CU
VAR-00097,MAT-WIRE-CU
VAR-00100,MAT-WIRE-CU
VAR-00103,MAT-WIRE-CU
VAR-00106,MAT-WIRE-CU
VAR-00109,MAT-WIRE-CU
VAR-00112,MAT-WIRE-CU
VAR-00115,MAT-WIRE-CU
VAR-00118,MAT-EMC-01
VAR-00121,MAT-EMC-01
VAR-00124,MAT-WIRE-CU
VAR-00127,MAT-EMC-01
VAR-00130,MAT-EMC-01
VAR-00133,MAT-WIRE-CU
VAR-00136,MAT-WIRE-CU
VAR-00139,MAT-WIRE-CU
VAR-00142,MAT-WIRE-CU
VAR-00145,MAT-WIRE-CU
VAR-00148,MAT-EMC-01
VAR-00151,MAT-WIRE-CU
VAR-00154,MAT-WIRE-CU
VAR-00157,MAT-WIRE-CU
VAR-00160,MAT-EMC-01
VAR-00163,MAT-EMC-01
VAR-00166,MAT-WIRE-CU
VAR-00169,MAT-WIRE-CU
VAR-00172,MAT-WIRE-CU
VAR-00175,MAT-WIRE-CU
VAR-00178,MAT-WIRE-CU
