from,to
VAR-00001,WC-MD-01
VAR-00002,WC-DA-01
VAR-00003,WC-DA-01
VAR-00004,WC-WB-01
VAR-00005,WC-DA-01
VAR-00006,WC-DA-01
VAR-00007,WC-MD-01
VAR-00008,WC-DA-01
VAR-00009,WC-DA-01
VAR-00010,WC-MD-01
VAR-00011,WC-DA-01
VAR-00012,WC-DA-01
VAR-00013,WC-WB-01
VAR-00014,WC-DA-01
VAR-00015,WC-DA-01
VAR-00016,WC-WB-01
VAR-00017,WC-DA-01
VAR-00018,WC-DA-01
VAR-00019,WC-WB-01
VAR-00020,WC-DA-01
VAR-00021,WC-DA-01
VAR-00022,WC-MD-01
VAR-00023,WC-DA-01
VAR-00024,WC-DA-01
VAR-00025,WC-WB-01
VAR-00026,WC-DA-01
VAR-00027,WC-DA-01
VAR-00028,WC-MD-01
VAR-00029,WC-DA-01
VAR-00030,WC-DA-01
VAR-00031,WC-WB-01
VAR-00032,WC-DA-01
VAR-00033,WC-DA-01
VAR-00034,WC-MD-01
VAR-00035,WC-DA-01
VAR-00036,WC-DA-01
VAR-00037,WC-WB-01
VAR-00038,WC-DA-01
VAR-00039,WC-DA-01
VAR-00040,WC-MD-01
VAR-00041,WC-DA-01
VAR-00042,WC-DA-01
VAR-00043,WC-WB-01
VAR-00044,WC-DA-01
VAR-00045,WC-DA-01
VAR-00046,WC-WB-01
VAR-00047,WC-DA-01
VAR-00048,WC-DA-01
VAR-00049,WC-MD-01
VAR-00050,WC-DA-01
VAR-00051,WC-DA-01
VAR-00052,WC-WB-01
VAR-00053,WC-DA-01
VAR-00054,WC-DA-01
VAR-00055,WC-WB-01
VAR-00056,WC-DA-01
VAR-00057,WC-DA-01
VAR-00058,WC-MD-01
VAR-00059,WC-DA-01
VAR-00060,WC-DA-01
VAR-00061,WC-WB-01
VAR-00062,WC-DA-01
VAR-00063,WC-DA-01
VAR-00064,WC-WB-01
VAR-00065,WC-DA-01
VAR-00066,WC-DA-01
VAR-00067,WC-WB-01
VAR-00068,WC-DA-01
VAR-00069,WC-DA-01
VAR-00070,WC-MD-01
VAR-00071,WC-DA-01
VAR-00072,WC-DA-01
VAR-00073,WC-WB-01
VAR-00074,WC-DA-01
VAR-00075,WC-DA-01
VAR-00076,WC-WB-01
VAR-00077,WC-DA-01
VAR-00078,WC-DA-01
VAR-00079,WC-WB-01
VAR-00080,WC-DA-01
VAR-00081,WC-DA-01
VAR-00082,WC-MD-01
VAR-00083,WC-DA-01
VAR-00084,WC-DA-01
VAR-00085,WC-WB-01
VAR-00086,WC-DA-01
VAR-00087,WC-DA-01
VAR-00088,WC-MD-01
VAR-00089,WC-DA-01
VAR-00090,WC-DA-01
VAR-00091,WC-MD-01
VAR-00092,WC-DA-01
VAR-00093,WC-DA-01
VAR-00094,WC-WB-01
VAR-00095,WC-DA-01
VAR-00096,WC-DA-01
VAR-00097,WC-WB-01
VAR-00098,WC-DA-01
VAR-00099,WC-DA-01
VAR-00100,WC-WB-01
VAR-00101,WC-DA-01
VAR-00102,WC-DA-01
VAR-00103,WC-WB-01
VAR-00104,WC-DA-01
VAR-00105,WC-DA-01
VAR-00106,WC-WB-01
VAR-00107,WC-DA-01
VAR-00108,WC-DA-01
VAR-00109,WC-WB-01
VAR-00110,WC-DA-01
VAR-00111,WC-DA-01
VAR-00112,WC-WB-01
VAR-00113,WC-DA-01
VAR-00114,WC-DA-01
VAR-00115,WC-WB-01
VAR-00116,WC-DA-01
VAR-00117,WC-DA-01
VAR-00118,WC-MD-01
VAR-00119,WC-DA-01
VAR-00120,WC-DA-01
VAR-00121,WC-MD-01
VAR-00122,WC-DA-01
VAR-00123,WC-DA-01
VAR-00124,WC-WB-01
VAR-00125,WC-DA-01
VAR-00126,WC-DA-01
VAR-00127,WC-MD-01
VAR-00128,WC-DA-01
VAR-00129,WC-DA-01
VAR-00130,WC-MD-01
VAR-00131,WC-DA-01
VAR-00132,WC-DA-01
VAR-00133,WC-WB-01
VAR-00134,WC-DA-01
VAR-00135,WC-DA-01
VAR-00136,WC-WB-01
VAR-00137,WC-DA-01
VAR-00138,WC-DA-01
VAR-00139,WC-WB-01
VAR-00140,WC-DA-01
VAR-00141,WC-DA-01
VAR-00142,WC-WB-01
VAR-00143,WC-DA-01
VAR-00144,WC-DA-01
VAR-00145,WC-WB-01
VAR-00146,WC-DA-01
VAR-00147,WC-DA-01
VAR-00148,WC-MD-01
VAR-00149,WC-DA-01
VAR-00150,WC-DA-01
VAR-00151,WC-WB-01
VAR-00152,WC-DA-01
VAR-00153,WC-DA-01
VAR-00154,WC-WB-01
VAR-00155,WC-DA-01
VAR-00156,WC-DA-01
VAR-00157,WC-WB-01
VAR-00158,WC-DA-01
VAR-00159,WC-DA-01
VAR-00160,WC-MD-01
VAR-00161,WC-DA-01
VAR-00162,WC-DA-01
VAR-00163,WC-MD-01
VAR-00164,WC-DA-01
VAR-00165,WC-DA-01
VAR-00166,WC-WB-01
VAR-00167,WC-DA-01
VAR-00168,WC-DA-01
VAR-00169,WC-WB-01
VAR-00170,WC-DA-01
VAR-00171,WC-DA-01
VAR-00172,WC-WB-01
VAR-00173,WC-DA-01
VAR-00174,WC-DA-01
VAR-00175,WC-WB-01
VAR-00176,WC-DA-01
VAR-00177,WC-DA-01
VAR-00178,WC-WB-01
VAR-00179,WC-DA-01
VAR-00180,WC-DA-01
